a","b","c","","d","","e"
[,"mantu","mantiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"mantu","mantiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"mantu","mantiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"mantu","mantiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"mantu","mantiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"mantu","mantiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"mantu","mantiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"mantu","mantiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"mantu","mantiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"mantu","manto",".ti.",".m.$.pl.$.nom.","0.99",],
[,"mantu","manto",".ti.",".m.$.pl.$.voc.","0.3",],
[,"mantu","manto",".ti.",".m.$.sg.$.nom.","0.99",],
[,"mantu","manto",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mantu","manto",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mantu","manto",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"mantu","matā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mantu","matā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"mantu","matā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mantu","matā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"mantu","matā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mantu","matā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"mantu","matā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mantu","matā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"mantu","mataṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"mantu","mataṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"mantu","mataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"mantu","mataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"mantu","mataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"mantu","mataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"mantu","matena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"mantu","matena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"mantu","matena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"mantu","matena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"mantu","matī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"mantu","matī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"mantu","matī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"mantu","matī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"mantu","matī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"mantu","mati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mantu","mati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mantu","mati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mantu","mati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mantu","matībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"mantu","matībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"mantu","matīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"mantu","matīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"mantu","matiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"mantu","matīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"mantu","matīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"mantu","matīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"mantu","matiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"mantu","matiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"mantu","matiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"mantu","matiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"mantu","matiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"mantu","matiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"mantu","matiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"mantu","matiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"mantu","matiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"mantu","mato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"mantu","mato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"mantu","mato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"mantu","mato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"mantu","mato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"mantu","mato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"mantu","mato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"mantu","mato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"mantu","me",".ti.",".m.$.pl.$.acc.","0.99",],
[,"mantu","mebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"mantu","mebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"mantu","mehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"mantu","mehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"mantu","mesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"vantu","vā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"vantu","vā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"vantu","vā",".ti.",".m.$.sg.$.nom.","0.99",],
[,"vantu","va",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vantu","vā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vantu","vā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vantu","vā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vantu","va",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vantu","vā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vantu","vā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vantu","vā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vantu","vaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"vantu","vaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"vantu","vaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vantu","vaṃ",".ti.",".m.$.sg.$.nom.","0.99",],
[,"vantu","vaṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vantu","vaṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vantu","vaṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vantu","vaṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vantu","vānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"vantu","vānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"vantu","vantā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"vantu","vantā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"vantu","vantā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vantu","vanta",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vantu","vantā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vantu","vanta",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vantu","vantā",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vantu","vanta",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vantu","vantā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vantu","vanta",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vantu","vantā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vantu","vantā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vantu","vanta",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vantu","vantā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vantu","vantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"vantu","vantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"vantu","vantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vantu","vantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vantu","vantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"vantu","vantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"vantu","vantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vantu","vantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vantu","vantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vantu","vantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vantu","vantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vantu","vantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vantu","vantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vantu","vantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vantu","vantānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"vantu","vantānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"vantu","vantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vantu","vantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vantu","vantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vantu","vantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vantu","vantani",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vantu","vantāni",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vantu","vantani",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vantu","vantāni",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vantu","vantani",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vantu","vantāni",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vantu","vantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vantu","vantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vantu","vantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vantu","vantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vantu","vantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vantu","vantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vantu","vantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vantu","vantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vantu","vantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vantu","vantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vantu","vantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vantu","vantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vantu","vantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vantu","vantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vantu","vantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vantu","vantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vantu","vante",".ti.",".m.$.pl.$.acc.","0.99",],
[,"vantu","vante",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vantu","vante",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vantu","vante",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vantu","vantebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vantu","vantebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vantu","vantebhi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"vantu","vantebhi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"vantu","vantehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vantu","vantehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vantu","vantehi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"vantu","vantehi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"vantu","vantesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"vantu","vantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"vantu","vantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"vantu","vantī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vantu","vantī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vantu","vantī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vantu","vantī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"vantu","vantī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"vantu","vantībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vantu","vantībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vantu","vantīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vantu","vantīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vantu","vantiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"vantu","vantīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"vantu","vantīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"vantu","vantīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"vantu","vantiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"vantu","vantiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"vantu","vantiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"vantu","vantiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"vantu","vantiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vantu","vantiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vantu","vantiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vantu","vantiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vantu","vantiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vantu","vanto",".ti.",".m.$.pl.$.nom.","0.99",],
[,"vantu","vanto",".ti.",".m.$.pl.$.voc.","0.3",],
[,"vantu","vanto",".ti.",".m.$.sg.$.nom.","0.99",],
[,"vantu","vanto",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vantu","vanto",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vantu","vanto",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vantu","vatā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vantu","vatā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vantu","vatā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vantu","vatā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vantu","vatā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vantu","vatā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vantu","vatā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vantu","vatā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vantu","vataṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"vantu","vataṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"vantu","vataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vantu","vataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vantu","vataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vantu","vataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vantu","vatena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vantu","vatena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vantu","vatena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vantu","vatena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vantu","vatī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vantu","vatī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vantu","vatī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vantu","vatī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"vantu","vatī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"vantu","vati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vantu","vati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vantu","vati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vantu","vati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vantu","vatībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vantu","vatībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vantu","vatīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vantu","vatīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vantu","vatiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"vantu","vatīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"vantu","vatīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"vantu","vatīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"vantu","vatiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"vantu","vatiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"vantu","vatiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"vantu","vatiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"vantu","vatiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vantu","vatiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vantu","vatiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vantu","vatiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vantu","vatiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vantu","vato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vantu","vato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vantu","vato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vantu","vato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vantu","vato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vantu","vato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vantu","vato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vantu","vato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vantu","ve",".ti.",".m.$.pl.$.acc.","0.99",],
[,"vantu","vebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vantu","vebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vantu","vehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vantu","vehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vantu","vesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"mat","mā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"mat","mā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"mat","mā",".ti.",".m.$.sg.$.nom.","0.99",],
[,"mat","ma",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mat","mā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mat","mā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mat","mā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mat","ma",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mat","mā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mat","mā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mat","mā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mat","maṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"mat","maṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"mat","maṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"mat","maṃ",".ti.",".m.$.sg.$.nom.","0.99",],
[,"mat","maṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mat","maṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mat","maṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mat","maṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mat","mānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"mat","mānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"mat","mantā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"mat","mantā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"mat","mantā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mat","manta",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mat","mantā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mat","manta",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mat","mantā",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mat","manta",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mat","mantā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mat","manta",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mat","mantā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mat","mantā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mat","manta",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mat","mantā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mat","mantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"mat","mantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"mat","mantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"mat","mantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"mat","mantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"mat","mantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"mat","mantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mat","mantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mat","mantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mat","mantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mat","mantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mat","mantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mat","mantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mat","mantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mat","mantānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"mat","mantānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"mat","mantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"mat","mantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"mat","mantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"mat","mantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"mat","mantani",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mat","mantāni",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mat","mantani",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mat","mantāni",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mat","mantani",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mat","mantāni",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mat","mantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mat","mantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mat","mantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mat","mantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mat","mantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mat","mantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mat","mantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mat","mantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mat","mantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"mat","mantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"mat","mantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"mat","mantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"mat","mantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"mat","mantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"mat","mantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"mat","mantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"mat","mante",".ti.",".m.$.pl.$.acc.","0.99",],
[,"mat","mante",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mat","mante",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mat","mante",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mat","mantebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"mat","mantebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"mat","mantebhi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"mat","mantebhi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"mat","mantehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"mat","mantehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"mat","mantehi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"mat","mantehi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"mat","mantesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"mat","mantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"mat","mantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"mat","mantī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"mat","mantī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"mat","mantī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"mat","mantī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"mat","mantī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"mat","mantībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"mat","mantībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"mat","mantīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"mat","mantīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"mat","mantiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"mat","mantīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"mat","mantīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"mat","mantīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"mat","mantiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"mat","mantiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"mat","mantiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"mat","mantiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"mat","mantiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"mat","mantiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"mat","mantiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"mat","mantiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"mat","mantiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"mat","manto",".ti.",".m.$.pl.$.nom.","0.99",],
[,"mat","manto",".ti.",".m.$.pl.$.voc.","0.3",],
[,"mat","manto",".ti.",".m.$.sg.$.nom.","0.99",],
[,"mat","manto",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mat","manto",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mat","manto",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"mat","matā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mat","matā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"mat","matā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mat","matā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"mat","matā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mat","matā",".ti.",".m.$.sg.$.inst.","0.99",],
