Date : 2020-11-22 22:27:11
Directory : c:\mysoft\Ampps\www\mint\app
Total : 1888 files,  1117371 codes, 188215 comments, 46391 blanks, all 1351977 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-3d\SVGRenderer.js                                                       | JavaScript |        660 |        220 |          1 |        881 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-3d\Scatter.js                                                           | JavaScript |         35 |        110 |          1 |        146 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-3d\Series.js                                                            | JavaScript |         45 |         14 |          1 |         60 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-3d\Tick3D.js                                                            | JavaScript |         37 |         31 |          1 |         69 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-3d\VMLAxis3D.js                                                         | JavaScript |         47 |         29 |          1 |         77 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-3d\VMLRenderer.js                                                       | JavaScript |         26 |         11 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-3d\ZAxis.js                                                             | JavaScript |        100 |         55 |          1 |        156 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-gantt\ArrowSymbols.js                                                   | JavaScript |         26 |        166 |          1 |        193 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-gantt\CurrentDateIndicator.js                                           | JavaScript |         52 |         47 |          1 |        100 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-gantt\GanttChart.js                                                     | JavaScript |         66 |         49 |          1 |        116 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-gantt\GanttSeries.js                                                    | JavaScript |        134 |        218 |          1 |        353 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-gantt\GridAxis.js                                                       | JavaScript |        548 |        297 |          1 |        846 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-gantt\Pathfinder.js                                                     | JavaScript |        503 |        580 |          1 |      1,084 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-gantt\PathfinderAlgorithms.js                                           | JavaScript |        350 |        306 |          1 |        657 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-gantt\Tree.js                                                           | JavaScript |         74 |         36 |          1 |        111 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-gantt\TreeGridAxis.js                                                   | JavaScript |        358 |        307 |          1 |        666 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-gantt\TreeGridTick.js                                                   | JavaScript |        186 |        119 |          1 |        306 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-map\ColorAxis.js                                                        | JavaScript |        555 |        609 |          1 |      1,165 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-map\ColorMapSeriesMixin.js                                              | JavaScript |         38 |         43 |          1 |         82 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-map\ColorSeriesMixin.js                                                 | JavaScript |         36 |         38 |          1 |         75 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-map\GeoJSON.js                                                          | JavaScript |        205 |        253 |          1 |        459 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-map\HeatmapSeries.js                                                    | JavaScript |        267 |        691 |          1 |        959 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-map\Map.js                                                              | JavaScript |        139 |        276 |          1 |        416 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-map\MapAxis.js                                                          | JavaScript |        111 |         46 |          1 |        158 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-map\MapBubbleSeries.js                                                  | JavaScript |         44 |        200 |          1 |        245 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-map\MapLineSeries.js                                                    | JavaScript |         25 |        102 |          1 |        128 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-map\MapNavigation.js                                                    | JavaScript |        161 |        140 |          1 |        302 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-map\MapPointSeries.js                                                   | JavaScript |         41 |        133 |          1 |        175 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-map\MapPointer.js                                                       | JavaScript |         42 |         18 |          1 |         61 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-map\MapSeries.js                                                        | JavaScript |        557 |        514 |          1 |      1,072 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\AreaRangeSeries.js                                                 | JavaScript |        352 |        271 |          1 |        624 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\AreaSplineRangeSeries.js                                           | JavaScript |         10 |         88 |          1 |         99 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\BoxPlotSeries.js                                                   | JavaScript |        171 |        445 |          1 |        617 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\BubbleLegend.js                                                    | JavaScript |        459 |        446 |          1 |        906 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\BubbleSeries.js                                                    | JavaScript |        217 |        346 |          1 |        564 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\ColumnPyramidSeries.js                                             | JavaScript |         99 |        156 |          1 |        256 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\ColumnRangeSeries.js                                               | JavaScript |         98 |        143 |          1 |        242 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\ErrorBarSeries.js                                                  | JavaScript |         38 |        128 |          1 |        167 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\GaugeSeries.js                                                     | JavaScript |        161 |        348 |          1 |        510 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\HiddenAxis.js                                                      | JavaScript |         24 |         22 |          1 |         47 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\PackedBubbleSeries.js                                              | JavaScript |        780 |        557 |          1 |      1,338 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\Pane.js                                                            | JavaScript |        157 |        246 |          1 |        404 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\Polar.js                                                           | JavaScript |        551 |        173 |          1 |        725 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\PolygonSeries.js                                                   | JavaScript |         46 |         98 |          1 |        145 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\RadialAxis.js                                                      | JavaScript |        589 |        274 |          1 |        864 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts-more\WaterfallSeries.js                                                 | JavaScript |        506 |        304 |          1 |        811 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts.js                                                                      | JavaScript |        681 |          2 |          2 |        685 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\AreaSeries.js                                                           | JavaScript |        223 |        276 |          1 |        500 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\AreaSplineSeries.js                                                     | JavaScript |         18 |        101 |          1 |        120 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Axis.js                                                                 | JavaScript |      1,921 |      3,993 |          1 |      5,915 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\BarSeries.js                                                            | JavaScript |          9 |        111 |          1 |        121 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\CandlestickSeries.js                                                    | JavaScript |         95 |        198 |          1 |        294 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Chart.js                                                                | JavaScript |      1,072 |        964 |          1 |      2,037 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Color.js                                                                | JavaScript |        174 |        231 |          1 |        406 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\ColumnSeries.js                                                         | JavaScript |        373 |        683 |          1 |      1,057 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\DataGrouping.js                                                         | JavaScript |        505 |        391 |          1 |        897 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\DataLabels.js                                                           | JavaScript |        808 |        343 |          1 |      1,152 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\DateTimeAxis.js                                                         | JavaScript |         88 |         89 |          1 |        178 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Dynamics.js                                                             | JavaScript |        671 |        646 |          1 |      1,318 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\FlagsSeries.js                                                          | JavaScript |        273 |        375 |          1 |        649 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Globals.js                                                              | JavaScript |         36 |         41 |          1 |         78 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Html.js                                                                 | JavaScript |        274 |        151 |          1 |        426 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Interaction.js                                                          | JavaScript |        720 |        450 |          1 |      1,171 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Legend.js                                                               | JavaScript |        720 |        405 |          1 |      1,126 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\LogarithmicAxis.js                                                      | JavaScript |        122 |         54 |          1 |        177 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\MSPointer.js                                                            | JavaScript |        103 |         57 |          1 |        161 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Navigator.js                                                            | JavaScript |      1,099 |        813 |          1 |      1,913 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\NavigatorAxis.js                                                        | JavaScript |         90 |         74 |          1 |        165 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\OHLCSeries.js                                                           | JavaScript |        130 |        225 |          1 |        356 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Options.js                                                              | JavaScript |        216 |      3,502 |          2 |      3,720 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\OrdinalAxis.js                                                          | JavaScript |        490 |        287 |          1 |        778 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\PieSeries.js                                                            | JavaScript |        452 |        801 |          1 |      1,254 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\PlotLineOrBand.js                                                       | JavaScript |        249 |        783 |          1 |      1,033 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Point.js                                                                | JavaScript |        340 |        462 |          1 |        803 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Pointer.js                                                              | JavaScript |        841 |        658 |          1 |      1,500 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\RangeSelector.js                                                        | JavaScript |        851 |        758 |          1 |      1,610 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Responsive.js                                                           | JavaScript |         89 |        179 |          1 |        269 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\SVGElement.js                                                           | JavaScript |      1,147 |      1,044 |          1 |      2,192 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\SVGLabel.js                                                             | JavaScript |        307 |        104 |          1 |        412 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\SVGRenderer.js                                                          | JavaScript |      1,057 |      1,272 |          1 |      2,330 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\ScatterSeries.js                                                        | JavaScript |         69 |        183 |          1 |        253 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\ScrollablePlotArea.js                                                   | JavaScript |        234 |        123 |          1 |        358 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Scrollbar.js                                                            | JavaScript |        446 |        367 |          1 |        814 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\ScrollbarAxis.js                                                        | JavaScript |        106 |         45 |          1 |        152 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Series.js                                                               | JavaScript |      1,733 |      3,766 |          1 |      5,500 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\SplineSeries.js                                                         | JavaScript |         63 |        183 |          1 |        247 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Stacking.js                                                             | JavaScript |        316 |        198 |          1 |        515 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\StackingAxis.js                                                         | JavaScript |        119 |         68 |          1 |        188 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\StockChart.js                                                           | JavaScript |        498 |        262 |          1 |        761 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Tick.js                                                                 | JavaScript |        391 |        276 |          1 |        668 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Time.js                                                                 | JavaScript |        261 |        385 |          1 |        647 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Tooltip.js                                                              | JavaScript |        771 |        561 |          1 |      1,333 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\parts\Utilities.js                                                            | JavaScript |      1,073 |      1,574 |          1 |      2,648 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\themes\avocado.js                                                             | JavaScript |         24 |         15 |          1 |         40 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\themes\dark-blue.js                                                           | JavaScript |        243 |         13 |          1 |        257 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\themes\dark-green.js                                                          | JavaScript |        243 |         13 |          1 |        257 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\themes\dark-unica.js                                                          | JavaScript |        202 |         15 |          1 |        218 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\themes\gray.js                                                                | JavaScript |        251 |         13 |          1 |        265 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\themes\grid-light.js                                                          | JavaScript |         65 |         14 |          1 |         80 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\themes\grid.js                                                                | JavaScript |         98 |         12 |          1 |        111 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\themes\high-contrast-dark.js                                                  | JavaScript |        195 |         16 |          1 |        212 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\themes\high-contrast-light.js                                                 | JavaScript |         25 |         16 |          1 |         42 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\themes\sand-signika.js                                                        | JavaScript |         96 |         17 |          1 |        114 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\themes\skies.js                                                               | JavaScript |         91 |         12 |          1 |        104 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\themes\sunset.js                                                              | JavaScript |         23 |         15 |          1 |         39 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\highcharts-3d.js                                                                         | JavaScript |         88 |          8 |          0 |         96 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\highcharts-3d.src.js                                                                     | JavaScript |      3,186 |      1,328 |         14 |      4,528 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\highcharts-more.js                                                                       | JavaScript |        162 |          8 |          0 |        170 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\highcharts-more.src.js                                                                   | JavaScript |      5,035 |      4,633 |         22 |      9,690 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\highcharts.js                                                                            | JavaScript |        528 |          8 |          0 |        536 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\highcharts.src.js                                                                        | JavaScript |     17,244 |     24,864 |         41 |     42,149 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\lib\canvg.js                                                                             | JavaScript |        121 |          9 |          1 |        131 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\lib\canvg.src.js                                                                         | JavaScript |      2,488 |        203 |        383 |      3,074 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\lib\jspdf.js                                                                             | JavaScript |         22 |        261 |          0 |        283 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\lib\jspdf.src.js                                                                         | JavaScript |     13,521 |      4,638 |      3,469 |     21,628 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\lib\rgbcolor.js                                                                          | JavaScript |         10 |          7 |          0 |         17 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\lib\rgbcolor.src.js                                                                      | JavaScript |        268 |         17 |         14 |        299 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\lib\svg2pdf.js                                                                           | JavaScript |          2 |         36 |          0 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\lib\svg2pdf.src.js                                                                       | JavaScript |      3,105 |        561 |        725 |      4,391 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\accessibility.js                                                                 | JavaScript |        171 |         11 |          0 |        182 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\accessibility.src.js                                                             | JavaScript |      4,082 |      3,166 |         31 |      7,279 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\annotations-advanced.js                                                          | JavaScript |        144 |         10 |          0 |        154 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\annotations-advanced.src.js                                                      | JavaScript |      3,935 |      3,043 |         25 |      7,003 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\annotations.js                                                                   | JavaScript |         94 |         10 |          0 |        104 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\annotations.src.js                                                               | JavaScript |      2,616 |      2,396 |         16 |      5,028 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\arrow-symbols.js                                                                 | JavaScript |          3 |         10 |          0 |         13 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\arrow-symbols.src.js                                                             | JavaScript |         50 |        175 |          3 |        228 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\boost-canvas.js                                                                  | JavaScript |         14 |         11 |          0 |         25 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\boost-canvas.src.js                                                              | JavaScript |        438 |         96 |          3 |        537 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\boost.js                                                                         | JavaScript |         63 |         73 |          0 |        136 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\boost.src.js                                                                     | JavaScript |      2,162 |      1,033 |         15 |      3,210 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\broken-axis.js                                                                   | JavaScript |         11 |          8 |          0 |         19 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\broken-axis.src.js                                                               | JavaScript |        375 |        186 |          3 |        564 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\bullet.js                                                                        | JavaScript |          5 |         10 |          0 |         15 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\bullet.src.js                                                                    | JavaScript |        133 |        206 |          3 |        342 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\coloraxis.js                                                                     | JavaScript |         20 |         10 |          0 |         30 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\coloraxis.src.js                                                                 | JavaScript |        607 |        656 |          4 |      1,267 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\current-date-indicator.js                                                        | JavaScript |          3 |         10 |          0 |         13 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\current-date-indicator.src.js                                                    | JavaScript |         73 |         56 |          3 |        132 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\cylinder.js                                                                      | JavaScript |          7 |         10 |          0 |         17 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\cylinder.src.js                                                                  | JavaScript |        225 |        148 |          3 |        376 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\data.js                                                                          | JavaScript |         31 |         10 |          0 |         41 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\data.src.js                                                                      | JavaScript |      1,191 |      1,047 |          4 |      2,242 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\datagrouping.js                                                                  | JavaScript |         16 |         10 |          0 |         26 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\datagrouping.src.js                                                              | JavaScript |        523 |        400 |          3 |        926 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\debugger.js                                                                      | JavaScript |         20 |         10 |          0 |         30 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\debugger.src.js                                                                  | JavaScript |        206 |         44 |         10 |        260 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\dependency-wheel.js                                                              | JavaScript |          7 |         10 |          0 |         17 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\dependency-wheel.src.js                                                          | JavaScript |        215 |        152 |          3 |        370 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\dotplot.js                                                                       | JavaScript |          4 |         10 |          0 |         14 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\dotplot.src.js                                                                   | JavaScript |        105 |         34 |          3 |        142 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\drag-panes.js                                                                    | JavaScript |          9 |         11 |          0 |         20 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\drag-panes.src.js                                                                | JavaScript |        256 |        281 |          3 |        540 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\draggable-points.js                                                              | JavaScript |         32 |          8 |          0 |         40 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\draggable-points.src.js                                                          | JavaScript |      1,088 |      1,182 |          3 |      2,273 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\drilldown.js                                                                     | JavaScript |         21 |         10 |          0 |         31 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\drilldown.src.js                                                                 | JavaScript |        602 |        496 |          3 |      1,101 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\dumbbell.js                                                                      | JavaScript |          8 |          8 |          0 |         16 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\dumbbell.src.js                                                                  | JavaScript |        207 |        259 |          3 |        469 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\export-data.js                                                                   | JavaScript |         20 |         10 |          0 |         30 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\export-data.src.js                                                               | JavaScript |        615 |        495 |          5 |      1,115 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\exporting.js                                                                     | JavaScript |         33 |         10 |          0 |         43 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\exporting.src.js                                                                 | JavaScript |        976 |      1,313 |          5 |      2,294 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\full-screen.js                                                                   | JavaScript |          6 |         11 |          0 |         17 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\full-screen.src.js                                                               | JavaScript |        130 |        114 |          3 |        247 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\funnel.js                                                                        | JavaScript |          8 |         10 |          0 |         18 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\funnel.src.js                                                                    | JavaScript |        249 |        325 |          3 |        577 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\funnel3d.js                                                                      | JavaScript |         16 |         10 |          0 |         26 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\funnel3d.src.js                                                                  | JavaScript |        491 |        239 |          3 |        733 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\gantt.js                                                                         | JavaScript |        184 |         10 |          0 |        194 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\gantt.src.js                                                                     | JavaScript |      5,699 |      4,812 |         21 |     10,532 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\grid-axis.js                                                                     | JavaScript |         19 |         10 |          0 |         29 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\grid-axis.src.js                                                                 | JavaScript |        568 |        306 |          3 |        877 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\heatmap.js                                                                       | JavaScript |         31 |          8 |          0 |         39 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\heatmap.src.js                                                                   | JavaScript |        904 |      1,388 |          6 |      2,298 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\histogram-bellcurve.js                                                           | JavaScript |          9 |          9 |          0 |         18 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\histogram-bellcurve.src.js                                                       | JavaScript |        227 |        256 |          5 |        488 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\item-series.js                                                                   | JavaScript |          8 |         10 |          0 |         18 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\item-series.src.js                                                               | JavaScript |        270 |        215 |          3 |        488 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\lollipop.js                                                                      | JavaScript |          3 |          8 |          0 |         11 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\lollipop.src.js                                                                  | JavaScript |         66 |        123 |          3 |        192 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\marker-clusters.js                                                               | JavaScript |         34 |         10 |          0 |         44 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\marker-clusters.src.js                                                           | JavaScript |      1,052 |        483 |          3 |      1,538 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\networkgraph.js                                                                  | JavaScript |         45 |         10 |          0 |         55 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\networkgraph.src.js                                                              | JavaScript |      1,363 |      1,324 |          8 |      2,695 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\no-data-to-display.js                                                            | JavaScript |          3 |         11 |          0 |         14 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\no-data-to-display.src.js                                                        | JavaScript |         85 |        133 |          3 |        221 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\offline-exporting.js                                                             | JavaScript |         14 |         10 |          0 |         24 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\modules\offline-exporting.src.js                                                         | JavaScript |        450 |        264 |          4 |        718 |
